id,name,popularity,explicit,artists,id_artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_s
7ndTONDDRFGiPnnhOzOXxq,La Nota,89,0,"'Manuel Turizo', 'Rauw Alejandro', 'Myke Towers'","'0tmwSHipWxN12fsoLcFU3B', '1mcTU81TzQhprhouKaTkpq', '7iK8PXO48WeuP03g8YR51W'",0.736,0.632,11,-4.939,0,0.0648,0.18,0.0,0.349,0.503,92.03,4,216.0
4xqrdfXkTW4T0RauPLv3WA,Heather,89,0,'Conan Gray','4Uc8Dsxct0oMqx0P6i60ea',0.357,0.425,5,-7.301,1,0.0333,0.584,0.0,0.322,0.27,102.078,3,198.0
1zLBsSVxETQOfINOLYvT5m,GIRL LIKE ME,89,1,"'Black Eyed Peas', 'Shakira'","'1yxSLGMDHlW21z4YXirZDS', '0EmeFodog0BfCgMzAIvKQp'",0.965,0.485,2,-8.784,1,0.191,0.0206,0.0237,0.0655,0.312,124.025,4,223.0
6gBFPUFcJLzWGx4lenP6h2,goosebumps,88,1,'Travis Scott','0Y5tJX1MQlPlqiwlOH1tJY',0.841,0.728,7,-3.37,1,0.0484,0.0847,0.0,0.149,0.43,130.049,4,244.0
3jjujdWJ72nww5eGnfs2E7,Adore You,88,0,'Harry Styles','6KImCVD70vtIoJWnq6nGn3',0.676,0.771,8,-3.675,1,0.0483,0.0237,7e-06,0.102,0.569,99.048,4,207.0
5RubKOuDoPn5Kj5TLVxSxY,TE MUDASTE,88,1,'Bad Bunny','4q3ewBCX7sLwd24euuV69X',0.811,0.637,10,-4.835,0,0.0591,0.234,0.000572,0.118,0.471,92.025,4,130.0
2XU0oxnq2qxCpomAAuJY8K,Dance Monkey,88,0,'Tones And I','2NjfBq1NflQcKSeiDooVjY',0.824,0.588,6,-6.4,0,0.0924,0.692,0.000104,0.149,0.513,98.027,4,209.0
2SAqBLGA283SUiwJ3xOUVI,Laugh Now Cry Later (feat. Lil Durk),88,1,"'Drake', 'Lil Durk'","'3TVXtAsR1Inumwj472S9r4', '3hcs9uc56yIGFCSy9leWe7'",0.761,0.518,0,-8.871,1,0.134,0.244,3.47e-05,0.107,0.522,133.976,4,261.0
1VLtjHwRWOVJiE5Py7JxoQ,Martin & Gina,88,1,'Polo G','6AgTAQt8XS6jRWi4sX7w49',0.832,0.534,1,-7.813,0,0.253,0.345,0.0,0.165,0.116,93.924,4,133.0
2mM3gZ0BbPwPPMelbA8vgt,No Te Enamores - Remix,88,1,"'Milly', 'Farruko', 'Nio Garcia', 'Jay Wheeler', 'Amenazzy'","'7kXCcNRLEnblbTAppPraBp', '329e4yvIujISKGKz1BZZbO', '5hdhHgpxyniooUiQVaPxQ0', '2cPqdH7XMvwaBJEVjheH8g', '6kq4GHwUcUojGIu0ziSNXf'",0.824,0.837,5,-4.603,1,0.107,0.573,1.66e-05,0.271,0.58,100.021,4,290.0
35UUpTmrcFXNIVIN26ujXl,Relación - Remix,88,0,"'Sech', 'Daddy Yankee', 'J Balvin', 'ROSALÍA', 'Farruko'","'77ziqFxp5gaInVrF2lj4ht', '4VMYDCV2IEDYJArk749S6m', '1vyhD5VmyZ7KMfW5gqLgo5', '7ltDVBr6mKbRvohxheJ9h1', '329e4yvIujISKGKz1BZZbO'",0.793,0.771,5,-3.417,1,0.0959,0.0337,1.51e-06,0.284,0.835,171.943,4,247.0
