artist_name,track_id,track_name,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,popularity,duration
Khalid,6zeeWid2sgw4lap2jV61PZ,Better,0.0765,0.596,0.552,0.334,0,0.104,-10.278,0,0.097,97.949,4,0.112,88,229.0
Camila Cabello,1rfofaqEpACxVEHIZBJe6W,Havana,0.184,0.765,0.523,3.56e-05,2,0.132,-4.333,1,0.03,104.988,4,0.394,88,217.0
Drake,0TlLq3lA83rQOYtrqBqSct,Nonstop,0.0164,0.912,0.412,0.013,7,0.104,-8.074,1,0.124,154.983,4,0.422,88,239.0
Ariana Grande,2hloaUoRonYssMuqLCBLTX,bloodline,0.0815,0.758,0.665,0.000157,2,0.216,-5.188,0,0.0774,151.976,4,0.643,88,217.0
Flipp Dinero,14mHfNsSHN0FbLftyjrV9g,Leave Me Alone,0.107,0.792,0.743,0.0,7,0.183,-2.806,1,0.0851,150.024,4,0.742,88,196.0
Drake,2G7V7zsVDxg1yRsu7Ew9RJ,In My Feelings,0.0589,0.835,0.626,6e-05,1,0.396,-5.833,1,0.125,91.03,4,0.35,88,218.0
Khalid,09oZ9eXQ2fo6YDrPzJqAoP,Outta My Head (with John Mayer),0.0174,0.729,0.545,0.000274,0,0.369,-7.818,1,0.0316,103.012,4,0.514,88,177.0
Lady Gaga,2rbDhOo9Fh61Bbu23T2qCk,Always Remember Us This Way,0.299,0.553,0.502,0.0,0,0.764,-5.972,1,0.0409,129.976,4,0.296,88,210.0
Gucci Mane,0QIjsbm2fh1cJ45XO9eGqq,Wake Up in the Sky,0.00381,0.8,0.578,0.0,4,0.359,-5.144,0,0.0485,143.01,4,0.367,88,205.0
Juice WRLD,6MjNilJCVKJq0LfFvo5jWJ,Fast,0.426,0.623,0.608,0.0,1,0.105,-5.937,0,0.0434,84.98,4,0.263,88,209.0
Ariana Grande,1TEL6MlSSVLSdhOSddidlJ,needy,0.78,0.647,0.309,7.41e-06,7,0.202,-7.948,0,0.0366,87.045,4,0.195,88,172.0
Billie Eilish,14JzyD6FlBD5z0wV5P07YI,when the party's over,0.979,0.498,0.104,7.86e-05,1,0.0895,-14.08,0,0.0621,124.001,3,0.205,88,200.0
Cardi B,2GGMabyHXnJmjY6CXhhB2e,Money,0.00534,0.95,0.59,0.0,8,0.11,-6.508,0,0.29,130.003,4,0.219,88,184.0
Bad Bunny,278kSqsZIiYp8p3QjYAqa8,NI BIEN NI MAL,0.556,0.826,0.449,1.85e-05,5,0.273,-8.33,0,0.0674,128.028,4,0.337,88,236.0
DJ Luian,4lzxJ4jCuFDXXGkE1LmpKR,Verte Ir,0.391,0.857,0.647,1.2e-06,11,0.0842,-4.152,0,0.0984,95.982,4,0.553,88,268.0
J Balvin,2D3z17LBMJ2HEHeBFFjTLi,Reggaeton,0.0165,0.747,0.74,9.94e-05,4,0.101,-4.325,0,0.191,176.059,4,0.552,88,159.0
Robin Schulz,1rCcsYnmqbMYdkG7kS9GC5,Speechless (feat. Erika Sirola),0.0161,0.574,0.728,1.42e-06,1,0.0851,-4.777,1,0.062,125.047,4,0.266,88,215.0
DJ Luian,7dNwJbsT0sg1le5kVugGJb,Bubalu,0.616,0.8,0.355,0.0,6,0.118,-10.47,0,0.0895,145.929,4,0.253,88,228.0
Imagine Dragons,2FY7b99s15jUprqC0M5NCT,Natural,0.217,0.704,0.611,0.0,2,0.0812,-6.112,1,0.0409,100.0,4,0.22,88,189.0
Calvin Harris,7ef4DlsgrMEH11cDZd32M6,One Kiss (with Dua Lipa),0.037,0.791,0.862,2.19e-05,9,0.0814,-3.24,0,0.11,123.994,4,0.592,88,215.0
Becky G,7dNwJbsT0sg1le5kVugGJb,Bubalu,0.616,0.8,0.355,0.0,6,0.118,-10.47,0,0.0895,145.929,4,0.253,88,228.0
Bazzi,4VUwkH455At9kENOfzTqmF,Beautiful (feat. Camila Cabello),0.346,0.638,0.717,0.0,2,0.105,-4.722,1,0.0337,100.027,4,0.249,88,180.0
Wisin & Yandel,7BuHdm4lQqcyG3qTwdkxus,Aullando,0.184,0.8,0.74,0.0,10,0.0558,-4.52,0,0.0479,90.035,4,0.775,88,226.0
Karol G,1mT47pKLXUwPYGwB91GcNz,Créeme,0.154,0.715,0.872,0.000146,6,0.11,-3.501,1,0.0547,96.939,4,0.682,88,212.0
Sofia Reyes,6JqpFboOH2bq9pzaYbkKBn,R.I.P. (feat. Rita Ora & Anitta),0.18,0.764,0.752,0.0,8,0.0701,-3.713,0,0.0711,100.066,4,0.698,88,187.0
Ski Mask The Slump God,1ThmUihH9dF8EV08ku5AXN,Faucet Failure,0.111,0.935,0.552,0.0,10,0.0952,-9.373,0,0.335,99.993,4,0.615,88,146.0
Zedd,09IStsImFySgyp0pIQdqAc,The Middle,0.171,0.753,0.657,0.0,7,0.112,-3.061,1,0.0449,107.01,4,0.437,88,185.0
Lunay,4T4CZ3Q4z3GG7lU720YYhM,Soltera,0.446,0.778,0.731,0.0,5,0.251,-4.325,1,0.0399,91.991,4,0.854,88,214.0
Metro Boomin,1fewSx2d5KIZ04wsooEBOz,Space Cadet (feat. Gunna),0.368,0.901,0.464,1.71e-05,5,0.238,-9.789,0,0.0645,109.004,4,0.638,87,203.0
Amenazzy,2IA8cFA46DkjgbsRG7kKbp,Baby,0.327,0.7,0.71,0.0,11,0.129,-4.835,1,0.0532,167.971,4,0.582,87,236.0
Lady Gaga,6QfS2wq5sSC1xAJCQsTSlj,Shallow - Radio Edit,0.416,0.575,0.33,0.0,7,0.0872,-6.557,1,0.031,95.801,4,0.277,87,217.0
Juice WRLD,5wujBwqG7INdStqGd4tRMX,Armed And Dangerous,0.186,0.736,0.67,0.0,10,0.114,-6.702,1,0.311,130.032,4,0.845,87,170.0
Tropkillaz,1OUPXna2MCgAt3VNmXJBtg,Bola Rebola,0.22,0.834,0.777,0.00609,5,0.335,-4.538,0,0.0593,129.984,4,0.865,87,193.0
Kygo,14sOS5L36385FJ3OL8hew4,Happy Now (feat. Sandro Cavazza),0.374,0.693,0.575,0.0,9,0.252,-6.998,1,0.0801,117.999,4,0.492,87,211.0
Nio Garcia,3V8UKqhEK5zBkBb6d6ub8i,Te Boté - Remix,0.542,0.903,0.675,1.28e-05,11,0.0595,-3.445,0,0.214,96.507,4,0.442,87,418.0
George Ezra,4ofwffwvvnbSkrMSCKQDaC,Shotgun,0.286,0.672,0.735,0.0,5,0.242,-4.733,1,0.0457,115.741,4,0.754,87,201.0
The Chainsmokers,4NBTZtAt1F13VvlSKe6KTl,This Feeling,0.0558,0.575,0.571,0.0,1,0.0912,-7.906,1,0.0439,105.049,4,0.449,87,198.0
XXXTENTACION,7AFASza1mXqntmGtbxXprO,changes,0.883,0.669,0.308,0.0,11,0.0984,-10.068,1,0.029,64.934,4,0.52,87,122.0
Lil Skies,4ZT9FnbFu1PaBfV3itxiqT,i,0.627,0.649,0.453,0.0,6,0.116,-7.28,1,0.085,99.183,4,0.431,87,182.0
Ariana Grande,4uTvPEr01pjTbZgl7jcKBD,NASA,0.451,0.747,0.458,0.0,6,0.252,-6.891,1,0.303,75.029,4,0.47,87,182.0
Ariana Grande,5Il6Oe7lr5XM7A0cWbVQtr,bad idea,0.0268,0.847,0.579,0.0545,1,0.102,-5.314,1,0.0719,137.998,4,0.569,87,267.0
Maren Morris,3npzogdOEiVsieXmmhBepL,The Bones,0.279,0.612,0.57,0.0,11,0.0963,-6.642,0,0.0347,77.004,4,0.335,87,197.0
Myke Towers,5KbBGUpIZd6gVFUU8tqYiQ,Si Se Da,0.374,0.83,0.71,0.0,11,0.0877,-5.523,0,0.326,93.977,4,0.703,87,237.0
Marshmello,08bNPGLD8AhKpnnERrAc6G,FRIENDS,0.205,0.626,0.88,0.0,9,0.128,-2.384,0,0.0504,95.079,4,0.534,87,203.0
Ozuna,48zFZh27QU5qsrBjn4C2FA,Vaina Loca,0.315,0.754,0.805,0.0,6,0.203,-4.249,1,0.0752,93.983,4,0.555,87,176.0
Kehlani,6ZRuF2n1CQxyxxAAWsKJOy,Nights Like This (feat. Ty Dolla $ign),0.367,0.61,0.725,0.0,8,0.154,-5.131,1,0.15,146.163,4,0.291,87,202.0
Martin Garrix,1ahVFh0ViDZr8LvkEVlq3B,No Sleep (feat. Bonn),0.129,0.44,0.635,0.0,11,0.121,-6.385,1,0.0326,128.133,4,0.327,87,207.0
Kygo,14sOS5L36385FJ3OL8hew4,Happy Now,0.374,0.693,0.575,0.0,9,0.252,-6.998,1,0.0801,117.999,4,0.492,87,211.0
Zedd,2XWjPtKdi5sucFYtVav07d,365,0.339,0.745,0.693,0.0,2,0.123,-5.479,0,0.034,98.039,4,0.248,87,182.0
ChocQuibTown,2ktoFujjJtantyMoVdBJlX,Pa Olvidarte (feat. Manuel Turizo) - Remix,0.0441,0.724,0.791,6.55e-06,7,0.239,-5.411,1,0.169,176.011,4,0.856,87,256.0
Billie Eilish,6X29iaaazwho3ab7GNue5r,8,0.742,0.753,0.237,0.00828,3,0.107,-13.426,1,0.246,62.442,4,0.474,87,173.0
Maroon 5,6FRLCMO5TUHTexlWo8ym1W,Girls Like You (feat. Cardi B),0.568,0.851,0.541,0.0,0,0.13,-6.825,1,0.0505,124.959,4,0.448,87,236.0
PNL,6VSaNvPPagk4U5Skxp6XfV,Au DD,0.293,0.777,0.698,2.32e-05,6,0.0908,-7.706,0,0.0704,119.963,4,0.119,87,247.0
A$AP Rocky,7ycWLEP1GsNjVvcjawXz3z,Praise The Lord (Da Shine) (feat. Skepta),0.0609,0.85,0.569,0.0816,5,0.1,-8.152,0,0.136,80.02,4,0.294,86,205.0
Shawn Mendes,2QZ7WLBE8h2y1Y5Fb8RYbH,In My Blood,0.0573,0.622,0.712,0.0,5,0.13,-7.321,1,0.066,140.025,4,0.487,86,211.0
Juice WRLD,13ZyrkCDmRz5xY3seuAWYk,Hear Me Calling,0.308,0.699,0.687,3.63e-05,7,0.121,-3.997,0,0.106,88.932,4,0.499,86,190.0
Ariana Grande,3wFLWP0FcIqHK1wb1CPthQ,fake smile,0.329,0.45,0.619,0.0,9,0.319,-7.412,1,0.372,83.3,4,0.427,86,209.0
FLETCHER,5SHhPFh68OhUmuRPymKX9d,Undrunk,0.455,0.679,0.572,2.41e-06,5,0.127,-6.703,1,0.0781,92.859,4,0.542,86,183.0
6ix9ine,6Gy7rXB6Ku5vIWC7WGWsl3,KIKA (feat. Tory Lanez),0.128,0.745,0.715,0.0,1,0.182,-3.368,0,0.245,94.513,4,0.342,86,136.0
Lil Peep,4jvjzW7Hm0yK4LvvE0Paz9,Falling Down - Bonus Track,0.0175,0.669,0.574,0.00294,4,0.146,-6.442,0,0.0286,120.013,4,0.273,86,196.0
French Montana,04MLEeAMuV9IlHEsD8vF6A,No Stylist,0.0215,0.765,0.704,0.0,5,0.227,-4.589,0,0.127,147.055,4,0.498,86,192.0
Lil Mosey,6JQvHMSaR8flFsN53ypOfP,Noticed,0.462,0.699,0.558,0.0,11,0.116,-7.622,1,0.0603,79.992,4,0.493,86,165.0
Ariana Grande,5OCJzvD7sykQEKHH7qAC3C,God is a woman,0.0233,0.602,0.658,6e-05,1,0.237,-5.934,1,0.0558,145.031,4,0.268,86,198.0
BlocBoy JB,4qKcDkK6siZ7Jp1Jb4m0aL,Look Alive (feat. Drake),0.00104,0.922,0.581,5.86e-05,10,0.105,-7.495,1,0.27,140.022,4,0.595,86,181.0
Zara Larsson,5tAa8Uaqr4VvA3693mbIhU,Ruin My Life,0.423,0.665,0.699,0.0,11,0.0969,-5.265,1,0.0578,124.896,4,0.585,86,191.0
Bazzi,7uzmGiiJyRfuViKKK3lVmR,Mine,0.0161,0.71,0.789,2.77e-06,4,0.451,-3.874,1,0.0722,142.929,4,0.717,86,131.0
A$AP Rocky,7ycWLEP1GsNjVvcjawXz3z,Praise The Lord (Da Shine),0.0609,0.85,0.569,0.0816,5,0.1,-8.152,0,0.136,80.02,4,0.294,86,205.0
Cauty,7kuRvjpeUcn6qNV9IBXC2C,Ta To Gucci (Remix),0.383,0.73,0.648,0.000112,1,0.103,-6.405,0,0.378,187.991,4,0.675,86,305.0
